protein_id_transcript	protein_id_gene	human_id	hgnc	number_of_peptides	unfE	fertE	cell16	iniG	latN	midTII	latTII	larva
KY21.Chr1.10.v1.nonSL2-1	KY21.Chr1.10	TAF9	HGNC:11542	5	1.0388570067272	1.00814431274747	1.00076760239975	0.96120648703417	1.0003689020245	0.862532849295898	1.05951039961435	1.071830813308
KY21.Chr1.1000.v1.SL1-1	KY21.Chr1.1000	PSMB7	HGNC:9544	13	1.06117734758459	1.08068178014372	1.06404059078229	0.918438180066334	0.94292567018472	0.948134127974928	1.02671543555253	0.969626304262382
KY21.Chr1.1001.v1.SL1-1	KY21.Chr1.1001	LRRC47	HGNC:29207	15	0.902273345825714	0.856352803936003	0.974288700377263	0.942157626019265	0.980524479433361	1.03895914574039	1.12712485971636	1.18005671319731
KY21.Chr1.1002.v1.SL1-1	KY21.Chr1.1002	TDRD1	HGNC:11712	6	3.39811495804533	3.23491870777619	0.51871029405453	0.125206106731354	0.188854711873846	0.201169469846751	0.242885895698074	0.179889696226168
KY21.Chr1.1004.v1.nonSL4-1	KY21.Chr1.1004	DNAJC2	HGNC:13192	21	0.908318510692873	0.881164720622291	0.988178871779305	0.975825127628151	1.03196069715838	1.08592667927319	1.05284035733119	1.0844152351151
KY21.Chr1.1005.v1.ND1-1	KY21.Chr1.1005	MYO18B	HGNC:18150	9	1.0060767441101	1.00828832520082	1.36293130523884	1.18445762399477	0.974900573451577	0.932346594303674	0.786059315690286	0.779453475422896
KY21.Chr1.1006.v1.SL1-1	KY21.Chr1.1006	NUAK1	HGNC:14311	1	1.62110973586154	1.40721176793895	0.223356909506666	0.193931496868192	1.07965425051803	1.16183171562664	1.13906154117831	1.14900998987653
KY21.Chr1.1009.v1.ND1-1	KY21.Chr1.1009	SUMF1	HGNC:20376	12	1.3709807431335	1.3029308773491	1.33143757692734	0.77557580679006	0.7920488146838	0.83085251022181	0.856430915263535	0.756316341662535
KY21.Chr1.101.v1.SL1-1	KY21.Chr1.101	NAA10	HGNC:18704	9	0.83508332040586	0.803875160570663	0.810632829608908	0.986283608540532	1.0475089505239	1.0688277739519	1.23427289274384	1.20757036145666
KY21.Chr1.1010.v1.nonSL1-1	KY21.Chr1.1010	GAS2	HGNC:4167	1	2.24137755960593	2.51488894680355	0.396019257668857	0.353025036179859	0.455895923879914	0.459089947221422	0.964295590541352	0.663100102166483
